month,n,mean_wustl,mean_wrfchem,mean_delta,median_delta,pct_wustl_higher
2017-01,1383,163.29,34.84,128.45,135.23,100.0
2017-02,1383,117.24,17.07,100.17,100.99,100.0
2017-03,1383,78.87,13.82,65.05,65.02,100.0
2017-04,1383,80.77,14.43,66.34,66.47,100.0
2017-05,1383,73.61,15.75,57.86,58.06,100.0
2017-06,1383,49.07,10.37,38.7,39.26,100.0
2017-07,1383,59.09,9.72,49.36,50.3,100.0
2017-08,1383,49.07,14.3,34.77,34.91,100.0
2017-09,1383,62.7,21.09,41.61,42.11,100.0
2017-10,1383,142.93,37.17,105.76,105.96,100.0
2017-11,1383,207.29,37.07,170.22,171.12,100.0
2017-12,1383,208.46,29.0,179.46,190.98,100.0
